year,state,city,population,violent_crime,murder_and_non_negligent_man_slaughter,forcible_rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson,crime_index_total,modified_crime_index_total
2000,ARIZONA,Flagstaff,61286,,2,24,61,233,,424,3909,191,16,4844,4860
2000,ARIZONA,Gilbert,104785,,,21,36,66,,1273,2147,223,17,3766,3783
2000,ARIZONA,Glendale,216309,,12,98,341,857,,2607,8396,2210,71,14521,14592
2000,ARIZONA,Goodyear,19053,,,3,12,31,,272,435,58,,811,811
2000,ARIZONA,Kingman,20330,,,6,10,81,,302,1386,94,7,1879,1886
2000,ARIZONA,Lake Havasu City,45044,,1,,3,63,,169,1058,81,8,1375,1383
2000,ARIZONA,Mesa,396003,,15,120,433,1825,,3720,15982,3430,62,25525,25587
2000,ARIZONA,Oro Valley,24534,,4,,1,10,,48,390,20,7,473,480
2000,ARIZONA,Paradise Valley,15835,,,,,2,,269,214,44,6,529,535
2000,ARIZONA,Payson,13518,,,5,2,24,,109,444,14,2,598,600
2000,ARIZONA,Peoria,101113,,4,27,45,189,,1180,2780,725,25,4950,4975
2000,ARIZONA,Phoenix,1300786,,152,422,3763,5417,,15860,52418,19466,255,97498,97753
2000,ARIZONA,Scottsdale,214685,,8,53,115,395,,2332,5230,1170,30,9303,9333
2000,ARIZONA,Sierra Vista,41304,,5,,24,67,,222,1249,85,11,1652,1663
2000,ARIZONA,Surprise,19399,,1,,14,75,,231,530,42,5,893,898
2000,ARIZONA,Tempe,180107,,13,80,297,588,,2224,9711,2295,38,15208,15246
2000,ARIZONA,Tucson,500992,,60,355,1444,2683,,6721,27349,5913,322,44525,44847
2000,ARIZONA,Winslow,11608,,,3,5,47,,61,581,9,35,706,741
2000,ARKANSAS,Arkadelphia,10678,,,4,,1,,21,187,13,,226,
2000,ARKANSAS,Benton,24389,,,10,11,77,,160,1113,106,,1477,
2000,ARKANSAS,Bentonville,22384,,,11,1,24,,303,653,5,,997,
2000,ARKANSAS,Blytheville,19826,,5,13,58,185,,468,1236,82,,2047,
2000,ARKANSAS,Bryant,10135,,,1,,,,5,135,11,,152,
2000,ARKANSAS,Cabot,16731,,,2,5,54,,64,434,28,,587,
2000,ARKANSAS,Camden,13742,,,8,23,56,,103,523,33,,746,
2000,ARKANSAS,Conway,44440,,1,27,7,45,,187,1897,58,,2222,
2000,ARKANSAS,El Dorado,22575,,4,10,40,245,,414,805,91,,1609,
2000,ARKANSAS,Fayetteville,60945,,6,35,37,123,,347,2215,130,,2893,
2000,ARKANSAS,Forrest City,13745,,2,6,40,246,,211,953,43,,1501,
2000,ARKANSAS,Fort Smith,78532,,2,61,100,438,,1173,4847,553,,7174,
2000,ARKANSAS,Harrison,12261,,,6,2,15,,44,360,12,,439,
2000,ARKANSAS,Hope,10408,,1,9,5,55,,172,314,34,,590,
2000,ARKANSAS,Hot Springs,40633,,3,26,60,272,,795,2781,131,,4068,
2000,ARKANSAS,Jacksonville,30054,,3,12,35,124,,252,1069,62,,1557,
2000,ARKANSAS,Jonesboro,55072,,1,27,70,94,,558,2194,178,,3122,
2000,ARKANSAS,Little Rock,184560,,31,132,536,1188,,3252,11116,1296,107,17551,17658
2000,ARKANSAS,Magnolia,11243,,,4,21,91,,130,414,35,,695,
2000,ARKANSAS,Malvern,10163,,2,6,14,63,,127,386,31,,629,
2000,ARKANSAS,Mountain Home,10690,,,1,,31,,24,311,15,,382,
2000,ARKANSAS,North Little Rock,62391,,8,33,136,265,,825,3798,590,,5655,
2000,ARKANSAS,Paragould,23378,,,2,5,,,100,488,69,,664,
2000,ARKANSAS,Pine Bluff,54748,,14,64,263,821,,1636,3170,333,66,6301,6367
